"","Species","Latitude","Longitude","2081-01-01","2081-02-01","2081-03-01","2081-04-01","2081-05-01","2081-06-01","2081-07-01","2081-08-01","2081-09-01","2081-10-01","2081-11-01","2081-12-01","2082-01-01","2082-02-01","2082-03-01","2082-04-01","2082-05-01","2082-06-01","2082-07-01","2082-08-01","2082-09-01","2082-10-01","2082-11-01","2082-12-01","2083-01-01","2083-02-01","2083-03-01","2083-04-01","2083-05-01","2083-06-01","2083-07-01","2083-08-01","2083-09-01","2083-10-01","2083-11-01","2083-12-01","2084-01-01","2084-02-01","2084-03-01","2084-04-01","2084-05-01","2084-06-01","2084-07-01","2084-08-01","2084-09-01","2084-10-01","2084-11-01","2084-12-01","2085-01-01","2085-02-01","2085-03-01","2085-04-01","2085-05-01","2085-06-01","2085-07-01","2085-08-01","2085-09-01","2085-10-01","2085-11-01","2085-12-01","cv","sd","mean","acf_lag1","acf_all"
"11","Ambystoma tigrinum",34,-112,306.709426879883,305.069396972656,300.363128662109,289.931884765625,286.617736816406,281.527267456055,280.785781860352,283.322647094727,283.022659301758,292.354110717773,292.415496826172,302.287704467773,304.566253662109,303.073852539062,297.950088500977,291.525741577148,282.614196777344,283.279876708984,282.530639648438,282.778717041016,287.453125,292.595458984375,297.534378051758,301.968154907227,304.830230712891,305.183944702148,299.653915405273,290.62712097168,284.858459472656,285.140441894531,280.488265991211,283.313140869141,288.407913208008,295.755889892578,298.695037841797,303.155288696289,303.739807128906,303.158843994141,299.734375,290.605834960938,286.324951171875,281.249420166016,281.95246887207,284.622833251953,288.845825195312,295.125885009766,301.462692260742,303.466522216797,302.675994873047,301.162307739258,296.230422973633,290.613265991211,287.177795410156,282.646835327148,283.501800537109,284.514694213867,285.275024414062,286.32649230957,289.849273681641,292.874771118164,0.0285182824601916,8.33471782764902,292.258758544922,0.819938240392243,0.596184033229565
"12","Amphiura filiformis",58.24724827,11.31443365,280.470367431641,281.530700683594,281.710296630859,280.435302734375,278.724731445312,277.369110107422,276.511962890625,275.793395996094,275.515869140625,275.831909179688,276.569580078125,277.872406005859,280.158020019531,281.8310546875,281.78955078125,280.587280273438,279.486694335938,277.735717773438,276.665252685547,275.909912109375,275.493896484375,275.749938964844,276.820617675781,279.681274414062,281.777984619141,283.478118896484,282.581451416016,281.606048583984,279.642059326172,278.395721435547,277.090057373047,276.416900634766,276.069641113281,276.340576171875,277.202819824219,278.675140380859,280.586791992188,281.997894287109,282.038726806641,280.744201660156,278.808258056641,277.554168701172,276.828826904297,276.042938232422,275.655151367188,275.796051025391,276.697082519531,277.724456787109,279.417541503906,281.006744384766,281.526245117188,280.472991943359,279.502563476562,278.313323974609,277.129852294922,276.364471435547,275.885925292969,276,276.863464355469,278.704772949219,0.00822677908750548,2.29132029123261,278.519730122884,0.852918742845456,0.608203425009246
"13","Anolis gundlachi",18.316667,-65.783333,298.955673217773,300.071502685547,301.126480102539,301.145889282227,300.5791015625,299.860504150391,298.759521484375,297.719680786133,297.317718505859,297.699783325195,297.867813110352,298.180603027344,298.703842163086,299.48908996582,300.219131469727,300.32551574707,299.498504638672,298.488372802734,297.854415893555,297.373809814453,297.282516479492,297.698104858398,297.495895385742,298.330947875977,299.663696289062,300.162368774414,300.751083374023,300.400192260742,300.299102783203,299.5048828125,298.701507568359,297.634338378906,297.19645690918,297.273681640625,297.614532470703,297.931137084961,298.357147216797,299.307693481445,300.163619995117,299.839736938477,299.239852905273,298.116287231445,297.407928466797,296.493041992188,296.21891784668,296.104141235352,296.571792602539,296.973281860352,297.51350402832,298.796264648438,299.500076293945,299.758697509766,299.776153564453,298.537078857422,298.052383422852,298.161239624023,298.317810058594,299.215179443359,299.607452392578,300.328704833984,0.00431244549143727,1.28809407452075,298.692256418864,0.847621998933693,0.481669928773756
"14","Arenicola marina",53.74168489,8.505000353,283.280548095703,284.137451171875,284.560028076172,283.892944335938,283.012725830078,281.555084228516,280.355316162109,279.409942626953,278.989349365234,279.438842773438,280.002410888672,281.568084716797,283.333526611328,285.184661865234,285.365478515625,284.781280517578,283.671722412109,281.923095703125,280.471740722656,279.566741943359,278.689544677734,278.826080322266,279.837585449219,281.301635742188,283.593566894531,285.374969482422,285.204864501953,285.131256103516,283.547149658203,282.304351806641,281.114074707031,280.385101318359,279.873138427734,280.237121582031,280.722686767578,281.936614990234,283.7548828125,284.607971191406,285.281524658203,284.745361328125,282.855133056641,281.566253662109,280.458770751953,279.548675537109,278.795196533203,278.788787841797,280.124206542969,281.672546386719,283.840393066406,285.682678222656,285.878875732422,284.79736328125,283.868896484375,282.155517578125,281.071960449219,280.180328369141,279.580261230469,279.784851074219,280.444885253906,282.146820068359,0.00780936934327484,2.20279048447968,282.070214335124,0.857698413866655,0.620316276076859
"15","Argopecten purpuratus",-30.28779945,-71.54439337,292.056457519531,291.686370849609,290.833374023438,291.629638671875,292.934844970703,296.264251708984,299.487243652344,300.045501708984,298.232543945312,296.722717285156,294.736572265625,293.508636474609,292.123260498047,291.721710205078,291.669708251953,291.714752197266,294.015289306641,297.590270996094,298.537750244141,299.231079101562,299.053771972656,297.251922607422,294.352508544922,292.328948974609,290.647338867188,290.341827392578,290.349975585938,290.954071044922,292.235290527344,296.245300292969,297.907775878906,299.513427734375,299.059875488281,297.001098632812,295.602508544922,292.901947021484,291.176422119141,290.190643310547,290.363494873047,290.812469482422,293.03955078125,294.743774414062,298.693878173828,299.231628417969,298.502777099609,297.253692626953,294.090057373047,291.991363525391,290.563415527344,289.857574462891,290.576568603516,291.814819335938,292.385009765625,295.278259277344,298.396820068359,300.176300048828,298.428619384766,296.469207763672,294.119049072266,292.595489501953,0.0111191923221377,3.27483201853381,294.520674133301,0.835243006398188,0.608869385243998
"16","Argyrosomus regius",37.4987,27.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Asterias rubens",58.24724827,11.31443365,280.470367431641,281.530700683594,281.710296630859,280.435302734375,278.724731445312,277.369110107422,276.511962890625,275.793395996094,275.515869140625,275.831909179688,276.569580078125,277.872406005859,280.158020019531,281.8310546875,281.78955078125,280.587280273438,279.486694335938,277.735717773438,276.665252685547,275.909912109375,275.493896484375,275.749938964844,276.820617675781,279.681274414062,281.777984619141,283.478118896484,282.581451416016,281.606048583984,279.642059326172,278.395721435547,277.090057373047,276.416900634766,276.069641113281,276.340576171875,277.202819824219,278.675140380859,280.586791992188,281.997894287109,282.038726806641,280.744201660156,278.808258056641,277.554168701172,276.828826904297,276.042938232422,275.655151367188,275.796051025391,276.697082519531,277.724456787109,279.417541503906,281.006744384766,281.526245117188,280.472991943359,279.502563476562,278.313323974609,277.129852294922,276.364471435547,275.885925292969,276,276.863464355469,278.704772949219,0.00822677908750548,2.29132029123261,278.519730122884,0.852918742845456,0.608203425009246
"18","Bithynia tentaculata",52.35,9.7,280.066833496094,281.2685546875,280.916732788086,279.487716674805,277.546173095703,276.174057006836,275.379653930664,274.834716796875,274.669311523438,275.057235717773,275.954666137695,277.317687988281,279.814605712891,281.485641479492,280.916610717773,279.487533569336,278.306655883789,276.59049987793,275.705307006836,275.154891967773,274.871292114258,275.093704223633,276.275375366211,279.578399658203,281.822540283203,283.034622192383,282.052291870117,280.443786621094,278.431945800781,277.024932861328,275.969680786133,275.314071655273,275.111145019531,275.346633911133,276.363510131836,278.100921630859,280.085464477539,281.472305297852,281.030044555664,279.678039550781,277.658355712891,276.324234008789,275.57536315918,275.060043334961,274.845428466797,275.051651000977,275.792221069336,276.956146240234,278.68928527832,280.319152832031,280.751754760742,279.41423034668,278.144561767578,276.887985229492,275.810592651367,275.219741821289,274.950347900391,275.17707824707,276.160797119141,278.110061645508,0.00867663291440502,2.40923123659041,277.668913777669,0.848449445782398,0.597709142247452
"19","Blennius pholis",53.523191,-5.099328,284.323303222656,285.764343261719,286.567047119141,285.699127197266,284.648742675781,283.466613769531,281.980194091797,280.724151611328,280.495452880859,280.677093505859,281.149078369141,282.693695068359,284.751434326172,286.677612304688,287.530029296875,286.966613769531,285.129364013672,282.535736083984,281.336395263672,280.81201171875,280.340118408203,280.593841552734,281.442962646484,282.909606933594,284.546051025391,286.236633300781,286.751525878906,286.732025146484,284.905700683594,283.553924560547,282.283660888672,281.348693847656,280.872589111328,281.278472900391,281.685607910156,283.151977539062,285.234039306641,286.653045654297,287.547576904297,286.703216552734,284.358245849609,282.6640625,281.008483886719,280.411468505859,279.928253173828,279.830383300781,281.230316162109,283.066711425781,285.728851318359,287.789184570312,288.213592529297,287.382446289062,285.235504150391,283.293579101562,282.468688964844,281.2099609375,280.738159179688,281.179992675781,281.969055175781,283.437622070312,0.00870873122804226,2.46890264188037,283.497397867839,0.855111894905477,0.615145537301367
"20","Bolitoglossa subpalmata",9.566667,-83.75,300.312469482422,301.874588012695,302.352340698242,301.762588500977,300.407623291016,299.62434387207,298.56086730957,296.994049072266,296.007873535156,295.607025146484,295.859176635742,296.988220214844,298.753143310547,300.570602416992,301.861831665039,301.237976074219,299.281845092773,298.599761962891,297.563323974609,296.645233154297,295.749267578125,296.106369018555,297.141448974609,298.175598144531,300.149963378906,302.099136352539,302.834976196289,301.628829956055,300.609466552734,299.654891967773,298.201431274414,296.899505615234,296.344833374023,296.505187988281,296.875503540039,297.553726196289,299.136978149414,300.682754516602,301.549118041992,301.046051025391,300.025817871094,299.10498046875,297.563140869141,296.06184387207,295.306900024414,295.117233276367,295.770950317383,297.275054931641,298.642562866211,300.739852905273,300.865676879883,300.503143310547,300.133865356445,299.62353515625,298.562393188477,298.092590332031,297.768356323242,298.068878173828,298.754470825195,300.246917724609,0.00699268076750386,2.08941745204353,298.800634765625,0.850907507669029,0.577250800607338
"21","Boreogadus saida",69.07859987,-104.9682869,284.242706298828,283.547271728516,281.896484375,280.475128173828,279.361724853516,278.762664794922,278.571044921875,278.361785888672,278.266723632812,278.515960693359,278.950592041016,281.086029052734,282.878875732422,283.342498779297,282.101257324219,280.391662597656,278.885772705078,278.388549804688,278.255767822266,278.150054931641,278.190399169922,278.204162597656,278.597320556641,280.549682617188,282.273956298828,282.721862792969,281.779541015625,280.112243652344,278.890167236328,278.289001464844,278.236877441406,278.053405761719,277.984649658203,278.225280761719,278.471343994141,279.856109619141,281.895843505859,282.735107421875,281.796234130859,280.775939941406,279.410400390625,278.484588623047,278.23974609375,278.11328125,278.027252197266,278.187591552734,278.861206054688,280.107421875,281.834381103516,282.465545654297,282.062042236328,280.358428955078,279.23291015625,278.30126953125,278.070037841797,277.787750244141,277.757202148438,277.889923095703,278.702056884766,280.718658447266,0.00650428946792597,1.81975746517946,279.778056335449,0.788084984346192,0.538679936644284
"22","Bovallia gigantea",-62.08333333,-58.36666667,271.486328125,271.442291259766,271.450134277344,271.462005615234,271.512664794922,272.144805908203,275.865264892578,276.356536865234,275.482269287109,274.114624023438,272.862945556641,271.859283447266,271.446502685547,271.432373046875,271.478637695312,271.457458496094,271.50830078125,272.968414306641,276.7412109375,276.892211914062,275.914398193359,274.274963378906,272.987701416016,271.872833251953,271.504943847656,271.473693847656,271.461944580078,271.451507568359,271.484985351562,272.156188964844,275.636444091797,276.544311523438,275.706970214844,274.310882568359,272.821411132812,271.559997558594,271.530548095703,271.457305908203,271.439361572266,271.465698242188,271.495056152344,272.028594970703,274.942810058594,275.879608154297,274.901519775391,273.337799072266,272.043060302734,271.518829345703,271.476959228516,271.457946777344,271.459136962891,271.454010009766,271.525970458984,272.945831298828,276.608367919922,277.307159423828,276.109405517578,274.371185302734,272.838226318359,271.828063964844,0.00712742398477333,1.94608965103681,273.042498270671,0.764030938294905,0.518625357826615
"23","Brachymystax lenok",33.73920979,107.4560732,293.823303222656,294.889602661133,294.557388305664,293.717330932617,292.446319580078,291.150726318359,289.863586425781,289.114868164062,288.946655273438,289.295059204102,290.503570556641,292.662750244141,294.307907104492,294.870529174805,294.828262329102,294.390548706055,293.249328613281,291.446685791016,289.853088378906,288.538284301758,288.096282958984,288.841903686523,291.025421142578,293.986618041992,295.601043701172,295.742370605469,295.280899047852,294.608764648438,292.999389648438,290.932571411133,289.639938354492,288.40934753418,287.796813964844,288.315231323242,290.718597412109,292.501953125,294.612091064453,294.506439208984,294.500244140625,293.642639160156,292.233047485352,290.616851806641,289.151962280273,288.228622436523,287.959411621094,288.561508178711,290.838684082031,292.026290893555,293.517135620117,294.709426879883,294.817245483398,294.089691162109,292.89143371582,291.246124267578,289.868560791016,288.626602172852,288.253067016602,289.869171142578,292.619598388672,294.074615478516,0.00851825877135541,2.48568660118909,291.806890106201,0.840569697384084,0.619764621763293
"24","Bufo woodhousii",33.216389,-97.129167,295.887557983398,295.726013183594,296.236740112305,294.676849365234,292.76042175293,291.09033203125,290.027862548828,288.86457824707,288.32177734375,289.273178100586,291.120483398438,292.944229125977,294.699630737305,295.689071655273,295.181488037109,294.298599243164,292.349868774414,290.850845336914,289.512741088867,288.834625244141,288.752746582031,289.712814331055,291.081298828125,293.611267089844,294.849639892578,295.819915771484,295.931335449219,294.403732299805,292.302658081055,291.110336303711,289.835510253906,289.109710693359,288.917602539062,289.690872192383,290.996688842773,293.021560668945,294.396255493164,295.529769897461,296.24250793457,294.491638183594,292.766845703125,291.113021850586,289.60710144043,288.858367919922,288.860427856445,289.45361328125,290.764251708984,292.517456054688,294.085906982422,294.83544921875,295.281509399414,294.604675292969,292.63395690918,291.010208129883,289.91145324707,289.198638916016,288.910629272461,289.215393066406,290.390380859375,292.526596069336,0.00869617870766344,2.53996547574606,292.078343963623,0.849433215340716,0.615364114536188
"25","Bufo woodhousii",33.005554,-115.469902,306.044784545898,302.303268432617,298.838836669922,288.509613037109,287.908660888672,282.650253295898,282.392135620117,286.29573059082,286.116638183594,289.978363037109,294.8818359375,299.351974487305,303.135177612305,297.765899658203,294.008026123047,291.266525268555,283.278198242188,283.887435913086,283.632827758789,283.855728149414,288.433929443359,295.755508422852,298.943923950195,300.343338012695,304.343597412109,302.200973510742,299.281829833984,290.638793945312,285.750961303711,286.465072631836,282.797302246094,285.157745361328,289.747619628906,296.434936523438,297.502548217773,301.063690185547,302.613250732422,299.461563110352,298.206100463867,290.946929931641,287.280410766602,282.232635498047,284.700149536133,286.292022705078,291.286056518555,296.601654052734,300.305130004883,302.615951538086,303.162872314453,301.412048339844,294.73291015625,291.413619995117,291.200775146484,284.750427246094,286.478607177734,288.72770690918,290.278518676758,288.461761474609,292.904281616211,295.289794921875,0.0237625224877858,6.95541661529473,292.705314381917,0.791813906294769,0.588191821892575
"26","Carassius auratus",34.69,135.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Carassius auratus",49.154938,-123.092218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Carassius carassius",62.58798978,29.66828919,279.373596191406,281.344284057617,279.484130859375,277.191207885742,274.49055480957,273.009155273438,271.524719238281,270.121032714844,269.446166992188,269.955520629883,272.268432617188,275.704681396484,280.07991027832,280.885848999023,279.050979614258,275.958221435547,273.995376586914,272.846328735352,271.324691772461,269.238052368164,269.607849121094,270.638687133789,273.014724731445,277.78662109375,281.774444580078,282.29704284668,279.88818359375,276.694946289062,274.581802368164,273.254577636719,272.337844848633,269.509048461914,270.107040405273,270.341262817383,272.300689697266,276.037002563477,280.106948852539,281.037460327148,278.792434692383,276.169448852539,274.025421142578,273.045333862305,271.936935424805,270.923034667969,269.503890991211,270.033355712891,272.302032470703,275.354293823242,278.591033935547,279.277984619141,277.541473388672,275.300842285156,274.040786743164,273.225387573242,271.949996948242,271.759155273438,270.654312133789,270.342147827148,272.604568481445,276.595321655273,0.0139727922260822,3.83613189145672,274.542971038818,0.821186117426868,0.588500102442253
"29","Catla catla",19.55,72.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Cellana tramoserica",-33.54377651,151.3099564,276.7919921875,275.991485595703,275.312927246094,275.912750244141,278.067779541016,282.333374023438,286.545379638672,288.442291259766,288.099639892578,286.283660888672,282.586456298828,279.100463867188,277.781097412109,277.251678466797,277.560302734375,278.409057617188,280.884643554688,284.323486328125,287.652099609375,291.005340576172,292.346771240234,289.337921142578,286.797302246094,286.496032714844,285.035278320312,283.635528564453,283.003021240234,283.089141845703,283.518981933594,285.717102050781,289.437591552734,291.363250732422,291.841430664062,291.082946777344,287.553405761719,285.454071044922,284.341033935547,282.5576171875,281.237487792969,281.057464599609,281.432678222656,283.399597167969,287.907775878906,290.822723388672,291.040252685547,289.241149902344,282.404113769531,279.392059326172,278.33544921875,277.983642578125,278.284790039062,279.077606201172,281.009735107422,284.591796875,289.139984130859,291.591186523438,290.684112548828,287.138336181641,282.083129882812,280.382354736328,0.0171803443106502,4.87955616905798,284.019696044922,0.846674024045875,0.477091504956457
"31","Channa argus",23.062051,113.466369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Chanos chanos",24.199993,120.690919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
